tox_cas_edf_id,tox_chemical_name,tox_recognized,tox_recognized_cancer,tox_recognized_cardio_blood,tox_recognized_developmental,tox_recognized_endocrine,tox_recognized_gastro_liver,tox_recognized_immunotoxicity,tox_recognized_kidney,tox_recognized_musculoskeletal,tox_recognized_neurotoxicity,tox_recognized_reproductive,tox_recognized_respiratory,tox_recognized_skin_sense,tox_suspected,tox_suspected_cancer,tox_suspected_cardio_blood,tox_suspected_developmental,tox_suspected_endocrine,tox_suspected_gastro_liver,tox_suspected_immunotoxicity,tox_suspected_kidney,tox_suspected_musculoskeletal,tox_suspected_neurotoxicity,tox_suspected_reproductive,tox_suspected_respiratory,tox_suspected_skin_sense
100-00-5,P-NITROCHLOROBENZENE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0
100-01-6,P-NITROANILINE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
100-02-7,4-NITROPHENOL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1
100-20-9,"1,4-BENZENEDICARBONYL CHLORIDE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
100-21-0,TEREPHTHALIC ACID,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100-25-4,P-DINITROBENZENE,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0
100-37-8,2-(DIETHYLAMINO)ETHANOL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1
100-40-3,4-VINYLCYCLOHEXENE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100-41-4,ETHYLBENZENE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,1,1,1,1
100-42-5,STYRENE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
100-43-6,"Pyridine, 4-ethenyl-",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
100-44-7,BENZYL CHLORIDE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,1
100-47-0,BENZONITRILE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
100-51-6,BENZYL ALCOHOL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1
100-53-8,(MERCAPTOMETHYL)BENZENE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
100-61-8,METHYLANILINE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
100-63-0,PHENYLHYDRAZINE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1
100-75-4,N-NITROSOPIPERIDINE,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
1002-53-5,DIBUTYLTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
10024-97-2,NITROUS OXIDE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0
