tox_cas_edf_id,tox_chemical_name,tox_recognized,tox_suspected
100-00-5,P-NITROCHLOROBENZENE,cancer,"cardiovascular blood,gastrointestinal liver,kidney"
100-01-6,P-NITROANILINE,,"cardiovascular blood,neurotoxicity"
100-02-7,4-NITROPHENOL,,"cardiovascular blood,neurotoxicity,skin sense"
100-20-9,"1,4-BENZENEDICARBONYL CHLORIDE",,"neurotoxicity,respiratory"
100-21-0,TEREPHTHALIC ACID,,neurotoxicity
100-25-4,P-DINITROBENZENE,reproductive,"cardiovascular blood,gastrointestinal liver,neurotoxicity"
100-37-8,2-(DIETHYLAMINO)ETHANOL,,"gastrointestinal liver,neurotoxicity,respiratory,skin sense"
100-40-3,4-VINYLCYCLOHEXENE,cancer,reproductive
100-41-4,ETHYLBENZENE,cancer,"cardiovascular blood,developmental,endocrine,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
100-42-5,STYRENE,,"cancer,cardiovascular blood,developmental,endocrine,gastrointestinal liver,immunotoxicity,kidney,neurotoxicity,reproductive,respiratory,skin sense"
100-43-6,"Pyridine, 4-ethenyl-",,"neurotoxicity,respiratory"
100-44-7,BENZYL CHLORIDE,cancer,"cardiovascular blood,developmental,gastrointestinal liver,neurotoxicity,respiratory,skin sense"
100-47-0,BENZONITRILE,,neurotoxicity
100-51-6,BENZYL ALCOHOL,,"gastrointestinal liver,immunotoxicity,neurotoxicity,skin sense"
100-52-7,ALMOND ARTIFICIAL ESSENTIAL OIL,,"gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
100-53-8,(MERCAPTOMETHYL)BENZENE,,"neurotoxicity,respiratory"
100-61-8,METHYLANILINE,,"cardiovascular blood,neurotoxicity,respiratory"
100-63-0,PHENYLHYDRAZINE,cancer,"cardiovascular blood,immunotoxicity,neurotoxicity,skin sense"
100-75-4,N-NITROSOPIPERIDINE,cancer,"gastrointestinal liver,respiratory"
100-97-0,"1,3,5,7-TETRAAZAADAMANTANE",,"immunotoxicity,respiratory,skin sense"
1002-53-5,DIBUTYLTIN,,immunotoxicity
10024-97-2,NITROUS OXIDE,,"cardiovascular blood,developmental,neurotoxicity,reproductive,respiratory"
10025-67-9,SULFUR CHLORIDE (MONO),,"respiratory,skin sense"
10025-87-3,PHOSPHORUS OXYCHLORIDE,,"kidney,neurotoxicity,respiratory,skin sense"
10025-91-9,ANTIMONY TRICHLORIDE,,"gastrointestinal liver,neurotoxicity,respiratory"
10026-13-8,PHOSPHORUS PENTACHLORIDE,,"respiratory,skin sense"
10026-24-1,Cobalt sulfate heptahydrate,cancer,"endocrine,respiratory"
10027-06-2,"8,9,10-TRINORBORN-2-YL ACRYLATE",,"immunotoxicity,skin sense"
10028-15-6,OZONE,,"cardiovascular blood,gastrointestinal liver,immunotoxicity,neurotoxicity,respiratory,skin sense"
10028-17-8,TRITIUM,cancer,
10031-13-7,LEAD ARSENITE,"cancer,developmental,reproductive",
10034-93-2,HYDRAZINE SULFATE,cancer,"gastrointestinal liver,neurotoxicity,respiratory"
10035-10-6,HYDROBROMIDE ACID,,"respiratory,skin sense"
10039-54-0,"HYDROXYLAMINE, SULFATE (2:1)",,"neurotoxicity,respiratory"
10043-35-3,BORIC ACID,,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,reproductive,respiratory,skin sense"
10043-49-9,AU-198,cancer,
10043-52-4,Calcium chloride (CaCl2),,cardiovascular blood
10043-66-0,IODINE-131,"cancer,developmental",endocrine
10043-92-2,RADON,,"cancer,respiratory"
10045-94-0,MERCURIC NITRATE,developmental,
10045-97-3,CAESIUM-137,cancer,
10045-97-3(+D),CS-137+D,cancer,
10048-13-2,STERIGMATOCYSTIN,cancer,gastrointestinal liver
10049-04-4,CHLORINE DIOXIDE,,"developmental,reproductive,respiratory,skin sense"
10049-14-6,Uranium fluoride (UF4),,"cardiovascular blood,kidney"
10061-01-5,"CIS-1,3-DICHLOROPROPENE",cancer,
10061-02-6,"TRANS-1,3-DICHLOROPROPENE",cancer,
10098-91-6,Y-90,cancer,
10098-97-2,STRONTIUM-90,cancer,
10098-97-2(+D),SR-90+D,cancer,
10099-74-8,LEAD NITRATE,"cancer,developmental,reproductive",
10099-76-0,"Silicic acid, lead(2+) salt (1:1)",,"cardiovascular blood,immunotoxicity"
101-05-3,ANILAZINE,,developmental
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",cancer,"cardiovascular blood,gastrointestinal liver,kidney,neurotoxicity,respiratory,skin sense"
101-21-3,CHLOROPROPHAM,,"neurotoxicity,skin sense"
101-27-9,BARBAN,,"immunotoxicity,skin sense"
101-37-1,"1,3,5-Triazine, 2,4,6-tris(2-propenyloxy)-",,neurotoxicity
101-42-8,FENURON,,cardiovascular blood
101-54-2,"1,4-BENZENEDIAMINE, N-PHENYL-",,"cardiovascular blood,immunotoxicity,skin sense"
101-61-1,"4,4'-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE",cancer,
101-68-8,"1,1'-METHYLENEBIS(4-ISOCYANATOBENZENE)",,"immunotoxicity,respiratory,skin sense"
101-72-4,"1,4-BENZENEDIAMINE, N-(1-METHYLETHYL)-N'-PHENYL-",,immunotoxicity
